Reporter	Year	HS.code.level	Base.nomenclature	Product	Number.of.subheadings	Number.of.lines	Number.of.AVDuties	AVDuty.average	AVDuty.minimum	AVDuty.maximum	Percent.duty.free	Number.of.non.AVDuties	List.of.non.AVDuties	Exchange.rate	Import.value	List.of.unit.values	Description
"Malaysia"	2013	2	"HS12"	01	34	59	55	0	0	0	91.6666666666667	4	""	3.151	""	""	"Live animals"
"Malaysia"	2013	4	"HS12"	0101	4	5	5	0	0	0	100	0	""	3.151	""	""	"Live horses, asses, mules and hinnies."
"Malaysia"	2013	6	"HS12"	010121	1	1	1	0	0	0	100	0	""	3.151	""	""	"Pure-bred breeding horses"
"Malaysia"	2013	6	"HS12"	010129	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live horses (excl. pure-bred for breeding)"
"Malaysia"	2013	6	"HS12"	010130	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live asses"
"Malaysia"	2013	6	"HS12"	010190	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live mules and hinnies"
"Malaysia"	2013	4	"HS12"	0102	5	11	11	0	0	0	100	0	""	3.151	""	""	"Live bovine animals."
"Malaysia"	2013	6	"HS12"	010221	1	1	1	0	0	0	100	0	""	3.151	""	""	"Pure-bred cattle for breeding"
"Malaysia"	2013	6	"HS12"	010229	1	4	4	0	0	0	100	0	""	3.151	""	""	"Live cattle (excl. pure-bred for breeding)"
"Malaysia"	2013	6	"HS12"	010231	1	1	1	0	0	0	100	0	""	3.151	""	""	"Pure-bred buffalo for breeding"
"Malaysia"	2013	6	"HS12"	010239	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live buffalo (excl. pure-bred for breeding)"
"Malaysia"	2013	6	"HS12"	010290	1	3	3	0	0	0	100	0	""	3.151	""	""	"Live bovine animals (excl. cattle and buffalo)"
"Malaysia"	2013	4	"HS12"	0103	3	3	1	0	0	0	33.3333333333333	2	""	3.151	""	""	"Live swine."
"Malaysia"	2013	6	"HS12"	010310	1	1	1	0	0	0	100	0	""	3.151	""	""	"Pure-bred breeding swine"
"Malaysia"	2013	6	"HS12"	010391	1	1	0	""	""	""	0	1	"[TRQ as specified inAppendix B]"	3.151	""	""	"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
"Malaysia"	2013	6	"HS12"	010392	1	1	0	""	""	""	0	1	"[TRQ as specified inAppendix B]"	3.151	""	""	"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
"Malaysia"	2013	4	"HS12"	0104	2	2	2	0	0	0	100	0	""	3.151	""	""	"Live sheep and goats."
"Malaysia"	2013	6	"HS12"	010410	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live sheep"
"Malaysia"	2013	6	"HS12"	010420	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live goats"
"Malaysia"	2013	4	"HS12"	0105	7	12	10	0	0	0	88.0952380952381	2	""	3.151	""	""	"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"Malaysia"	2013	6	"HS12"	010511	1	2	1	0	0	0	50	1	"[TRQ as specified inAppendix B]"	3.151	""	""	"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
"Malaysia"	2013	6	"HS12"	010512	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live domestic turkeys, weighing <= 185 g"
"Malaysia"	2013	6	"HS12"	010513	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live domestic ducks, weighing <= 185 g"
"Malaysia"	2013	6	"HS12"	010514	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live domestic geese, weighing <= 185 g"
"Malaysia"	2013	6	"HS12"	010515	1	1	1	0	0	0	100	0	""	3.151	""	""	"Live domestic guinea fowls, weighing <= 185 g"
"Malaysia"	2013	6	"HS12"	010594	1	3	2	0	0	0	66.6666666666667	1	"[TRQ as specified inAppendix B]"	3.151	""	""	"Live fowls of the species Gallus domesticus, weighing > 185"
"Malaysia"	2013	6	"HS12"	010599	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
"Malaysia"	2013	4	"HS12"	0106	13	26	26	0	0	0	100	0	""	3.151	""	""	"Other live animals."
"Malaysia"	2013	6	"HS12"	010611	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live primates"
"Malaysia"	2013	6	"HS12"	010612	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"Malaysia"	2013	6	"HS12"	010613	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live camels and other camelids [Camelidae]"
"Malaysia"	2013	6	"HS12"	010614	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live rabbits and hares"
"Malaysia"	2013	6	"HS12"	010619	1	2	2	0	0	0	100	0	""	3.151	""	""	"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
