HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS12	030193	1	HS17	030193
HS12	030199	0.5	HS17	030193
HS12	030199	0.5	HS17	030199
HS12	030211	0.5	HS17	030211
HS12	030213	0.5	HS17	030213
HS12	030214	0.5	HS17	030214
HS12	030219	0.5	HS17	030219
HS12	030221	0.5	HS17	030221
HS12	030222	0.5	HS17	030222
HS12	030223	0.5	HS17	030223
HS12	030224	0.5	HS17	030224
HS12	030229	0.5	HS17	030229
HS12	030231	0.5	HS17	030231
HS12	030232	0.5	HS17	030232
HS12	030233	0.5	HS17	030233
HS12	030234	0.5	HS17	030234
HS12	030235	0.5	HS17	030235
HS12	030236	0.5	HS17	030236
HS12	030239	0.5	HS17	030239
HS12	030241	0.5	HS17	030241
HS12	030242	0.5	HS17	030242
HS12	030243	0.5	HS17	030243
HS12	030244	0.5	HS17	030244
HS12	030245	0.5	HS17	030245
HS12	030246	0.5	HS17	030246
HS12	030247	0.5	HS17	030247
HS12	030289	0.25	HS17	030249
HS12	030251	0.5	HS17	030251
HS12	030252	0.5	HS17	030252
HS12	030253	0.5	HS17	030253
HS12	030254	0.5	HS17	030254
HS12	030255	0.5	HS17	030255
HS12	030256	0.5	HS17	030256
HS12	030259	0.5	HS17	030259
HS12	030271	0.5	HS17	030271
HS12	030272	0.5	HS17	030272
HS12	030273	0.5	HS17	030273
HS12	030289	0.25	HS17	030273
HS12	030274	0.5	HS17	030274
HS12	030279	0.5	HS17	030279
HS12	030281	0.333333333333333	HS17	030281
HS12	030282	0.5	HS17	030282
HS12	030283	0.5	HS17	030283
HS12	030284	0.5	HS17	030284
HS12	030285	0.5	HS17	030285
HS12	030289	0.25	HS17	030289
HS12	030290	1	HS17	030291
HS12	030281	0.333333333333333	HS17	030292
HS12	030211	0.5	HS17	030299
HS12	030213	0.5	HS17	030299
HS12	030214	0.5	HS17	030299
HS12	030219	0.5	HS17	030299
HS12	030221	0.5	HS17	030299
HS12	030222	0.5	HS17	030299
HS12	030223	0.5	HS17	030299
HS12	030224	0.5	HS17	030299
HS12	030229	0.5	HS17	030299
HS12	030231	0.5	HS17	030299
HS12	030232	0.5	HS17	030299
HS12	030233	0.5	HS17	030299
HS12	030234	0.5	HS17	030299
HS12	030235	0.5	HS17	030299
HS12	030236	0.5	HS17	030299
HS12	030239	0.5	HS17	030299
HS12	030241	0.5	HS17	030299
HS12	030242	0.5	HS17	030299
HS12	030243	0.5	HS17	030299
HS12	030244	0.5	HS17	030299
HS12	030245	0.5	HS17	030299
HS12	030246	0.5	HS17	030299
HS12	030247	0.5	HS17	030299
HS12	030251	0.5	HS17	030299
HS12	030252	0.5	HS17	030299
HS12	030253	0.5	HS17	030299
HS12	030254	0.5	HS17	030299
HS12	030255	0.5	HS17	030299
HS12	030256	0.5	HS17	030299
HS12	030259	0.5	HS17	030299
HS12	030271	0.5	HS17	030299
HS12	030272	0.5	HS17	030299
HS12	030273	0.5	HS17	030299
HS12	030274	0.5	HS17	030299
HS12	030279	0.5	HS17	030299
HS12	030281	0.333333333333333	HS17	030299
HS12	030282	0.5	HS17	030299
HS12	030283	0.5	HS17	030299
HS12	030284	0.5	HS17	030299
HS12	030285	0.5	HS17	030299
HS12	030289	0.25	HS17	030299
HS12	030311	0.5	HS17	030311
HS12	030312	0.5	HS17	030312
HS12	030313	0.5	HS17	030313
HS12	030314	0.5	HS17	030314
HS12	030319	0.5	HS17	030319
